name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,date
MemeCore,m,1.62,2841344188,8054120.0,-0.44774,2026-03-21
World Liberty Financial,wlfi,0.093969,2600361777,82054785.0,4.13813,2026-03-21
Bittensor,tao,270.48,2594570353,334801342.0,-5.61545,2026-03-21
Tether Gold,xaut,4494.06,2537224970,673121060.0,-3.5224,2026-03-21
Polkadot,dot,1.49,2500640857,136068135.0,-2.56212,2026-03-21
Mantle,mnt,0.753409,2468383592,25838247.0,-0.63837,2026-03-21
Circle USYC,usyc,1.12,2450906535,111880.0,0.01821,2026-03-21
Uniswap,uni,3.59,2275385213,151859249.0,-0.61752,2026-03-21
PAX Gold,paxg,4508.9,2266940174,418017816.0,-3.24759,2026-03-21
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2012853986,0.0,0.0,2026-03-21
Pi Network,pi,0.199179,1953948326,41174404.0,5.41515,2026-03-21
OKB,okb,88.33,1854569746,12841912.0,-0.51759,2026-03-21
Global Dollar,usdg,0.999878,1775657069,22463940.0,0.0063,2026-03-21
Falcon USD,usdf,0.997764,1748388447,1140089.0,-0.04408,2026-03-21
Aster,aster,0.691248,1698166317,132249622.0,0.66293,2026-03-21
Sky,sky,0.073589,1697551350,10851089.0,1.94158,2026-03-21
NEAR Protocol,near,1.31,1693824396,123721598.0,-2.20602,2026-03-21
Bitcoin,btc,70565.0,1411517068706,31739568885.0,-0.00953,2026-03-21
Ethereum,eth,2153.55,259916131358,13072222652.0,0.22749,2026-03-21
Tether,usdt,0.999805,184146288687,50589071728.0,-0.01774,2026-03-21
XRP,xrp,1.44,88307549555,1575071436.0,-0.74832,2026-03-21
BNB,bnb,642.7,87636512096,789121975.0,-0.07581,2026-03-21
USDC,usdc,0.999904,79037151080,4787625963.0,-0.00365,2026-03-21
Solana,sol,89.97,51440336556,2436543651.0,0.74295,2026-03-21
TRON,trx,0.309604,29332739834,555913374.0,0.75179,2026-03-21
Figure Heloc,figr_heloc,1.003,15889689398,330310642.0,0.12024,2026-03-21
Dogecoin,doge,0.094006,14429935499,563283302.0,-0.34548,2026-03-21
WhiteBIT Coin,wbt,55.26,11793729462,54529025.0,0.05149,2026-03-21
USDS,usds,0.999968,11761286323,7987763.0,0.00047,2026-03-21
Cardano,ada,0.264215,9736614527,303777056.0,-1.8199,2026-03-21
Hyperliquid,hype,39.62,9447634203,245033640.0,-0.10428,2026-03-21
Bitcoin Cash,bch,468.5,9374905040,180143774.0,1.09984,2026-03-21
LEO Token,leo,9.22,8489543442,426119.0,0.50673,2026-03-21
Chainlink,link,9.1,6445979428,289334269.0,-0.124,2026-03-21
Monero,xmr,348.74,6433101984,75948527.0,0.9763,2026-03-21
Ethena USDe,usde,0.999892,5923055060,104658422.0,0.00259,2026-03-21
Canton,cc,0.147332,5613703110,6465341.0,2.89186,2026-03-21
Stellar,xlm,0.165107,5450383393,71063206.0,-1.27677,2026-03-21
USD1,usd1,0.999726,4424417002,1043461741.0,0.03291,2026-03-21
Litecoin,ltc,56.16,4322648695,285267376.0,0.89103,2026-03-21
Dai,dai,0.999885,4315688145,155958435.0,-0.00955,2026-03-21
Rain,rain,0.00869312,4156357944,18465564.0,-0.78808,2026-03-21
Avalanche,avax,9.5,4103488140,230454274.0,-0.38052,2026-03-21
PayPal USD,pyusd,0.999796,4072239842,80371118.0,-0.00024,2026-03-21
Hedera,hbar,0.092586,4009482970,46723252.0,-1.19081,2026-03-21
Zcash,zec,234.14,3889812809,234887152.0,-0.46734,2026-03-21
Sui,sui,0.961953,3751497642,238546536.0,-1.08755,2026-03-21
Shiba Inu,shib,5.99e-06,3532860990,156917745.0,-0.29318,2026-03-21
Cronos,cro,0.074856,3165787401,8441734.0,-0.96697,2026-03-21
Toncoin,ton,1.26,3109396517,103405458.0,1.98283,2026-03-21
MemeCore,m,1.62,2839807554,8048027.0,-0.42066,2026-03-21
World Liberty Financial,wlfi,0.093931,2598578139,81991911.0,4.09527,2026-03-21
Bittensor,tao,270.27,2594565816,366382013.0,-5.68996,2026-03-21
Tether Gold,xaut,4493.95,2537356744,673750359.0,-3.52488,2026-03-21
Polkadot,dot,1.49,2500998637,136012015.0,-2.55874,2026-03-21
Mantle,mnt,0.753041,2469003552,27241428.0,-0.68687,2026-03-21
Circle USYC,usyc,1.12,2450906535,111880.0,0.00922,2026-03-21
Uniswap,uni,3.59,2274075640,151941991.0,-0.66787,2026-03-21
PAX Gold,paxg,4508.9,2266982975,418465195.0,-3.24745,2026-03-21
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2012853986,0.0,0.0,2026-03-21
Pi Network,pi,0.199097,1953813976,41175006.0,5.37174,2026-03-21
OKB,okb,88.36,1854840744,12825411.0,-0.47851,2026-03-21
Global Dollar,usdg,0.999888,1775729119,21399850.0,0.00726,2026-03-21
